title,location,location_status,status,year,area,bathrooms,bedrooms,heating_type,energy_class,price
Gran y señorial piso en Laforja ,Sant Gervasi  Galvany ,Excelente,Bien,1944,267m²,3,5,Gas,D,1.290.000EUR
Bonito apartamento frente al Port Vell ,Ciutat Vella  Born-Ribera ,Excelente,Excelente,2010,77m²,2,2,,D,600.000EUR
Piso exterior y reformado en Sant Andreu ,Sant Andreu ,Bien,Bien,1997,87m²,1,3,,,180.000EUR
Piso reformado con balcón en Rambla Poblenou ,SANT MARTIN  Provençals del Poblenou ,Excelente,Excelente,1989,76m²,1,3,Gas,,435.000EUR
Apartamento bien ubicado junto a Lesseps ,Gracia  La Salut ,Excelente,Muybien,1980,46m²,1,1,Central,F,270.000EUR
Casa familiar en Nou Barris ,Nou Barris ,Regular,Muybien,1957,286m²,3,4,BombadecalorGas,,615.000EUR
Piso muy luminoso en Poblenou ,SANT MARTIN  El Poblenou ,Excelente,Excelente,2006,126m²,2,4,Gas,,850.000EUR
Piso tranquilo para entrar a vivir ,Sant Just - Esplugues  Esplugues - Otras ,Muybien,Muybien,1979,95m²,1,3,Gas,E,270.000EUR
Acogedor piso cerca de Plaza d’Espanya ,Sants - Montjuïc  Poble Sec ,Excelente,Muybien,1928,40m²,1,1,,G,179.000EUR
Piso reformado junto a Sant Antoni ,Ciutat Vella  raval ,Muybien,Excelente,1900,45m²,1,1,,E,189.000EUR
Piso al lado del Parque de Santa Amelia ,Sarria  Sta. Amelia ,Excelente,Muybien,,87m²,1,2,,G,550.000EUR
Ideal piso céntrico y con ascensor en el Gòtic ,Ciutat Vella  Gòtic ,Muybien,,1900,63m²,1,2,Gas,E,360.000EUR
Ático con vistas en Eixample Dret ,Eixample  Eixample Dreta ,Muybien,Muybien,1900,57m²,1,2,Gas,E,380.000EUR
Precioso piso en finca regia en Galvany ,Sant Gervasi  Galvany ,Excelente,Excelente,1946,277m²,4,5,Gas,,1.650.000EUR
Espectaculares vistas en la Illa del Mar ,SANT MARTIN  Diagonal Mar i El Front Marítim del Poblenou ,Excelente,Excelente,2008,132m²,2,3,Bombadecalor,A,2.200.000EUR
Piso reformado con terraza en Font d'en Fargues ,Horta Guinardó  Font d'en Fargas ,Bien,Muybien,1967,114m²,2,3,Bombadecalor,E,545.000EUR
Piso familiar en Fabra i Puig en el barrio de Horta ,Nou Barris ,Bien,Regular,1958,82m²,1,4,,E,250.000EUR
Ático a reformar en Plaza Sanllehy ,Gracia  La Salut ,Excelente,Muybien,1959,99m²,1,4,BombadecalorGas,E,495.000EUR
Fantástica propiedad en el Barrio Gótico ,Ciutat Vella  Gòtic ,Excelente,Excelente,1867,176m²,2,3,Gas,D,1.045.000EUR
Piso luminoso y soleado en Gràcia ,Gracia  Vila de Gracia ,Excelente,Muybien,1900,57m²,1,2,Bombadecalor,,314.000EUR
Piso a estrenar de 4 habitaciones y balcón en Eixample ,Eixample  Nova Esquerra de l'Eixample ,Excelente,Muybien,1970,131m²,2,4,Gas,D,695.000EUR
Piso reformado con balcón en zona peatonal ,Sant Just - Esplugues  Sant Joan Despí ,Muybien,Muybien,1972,111m²,1,4,Gas,E,349.000EUR
Amplio loft a pasos de la plaza Cataluña ,Ciutat Vella  raval ,Muybien,Muybien,1900,45m²,1,1,,E,187.000EUR
Acogedor ático con vistas despejadas ,Sant Just - Esplugues  Sant Joan Despí ,Excelente,Muybien,1966,75m²,1,3,Gas,G,265.000EUR
Piso con gran terraza junto Hospital Sant Pau ,Horta Guinardó ,Excelente,Muybien,1991,193m²,3,4,Gas,E,695.000EUR
Precioso piso reformado en Galvany ,Sant Gervasi  Galvany ,Excelente,Excelente,1955,96m²,2,3,LongDistanceHeating,E,725.000EUR
Espectacular piso en finca regia restaurada ,Ciutat Vella  raval ,Muybien,Excelente,1936,121m²,2,3,,E,596.000EUR
Piso reformado al lado de Plaça Tetúan ,Eixample  Eixample Esquerra ,Muybien,,1930,130m²,3,3,,D,699.000EUR
Fantástico piso en calle Reina Victòria ,Sant Gervasi  Turo Parc ,Excelente,Necesitarestauración,1961,295m²,4,5,Gas,E,1.500.000EUR
Excelente piso cerca de Francesc Macià ,Eixample  Eixample Esquerra ,Muybien,Muybien,1964,134m²,2,4,Gas,D,725.000EUR
Fantástica vivienda a actualizar en Consell de Cent ,Eixample  Eixample Dreta ,Excelente,Regular,1890,98m²,2,2,Gas,E,525.000EUR
Piso en finca regia con licencia turística en Eixample ,Eixample  Eixample Esquerra ,,,1900,147m²,2,3,,E,950.000EUR
Loft ideal para inversores ,Sants - Montjuïc  Font de la Guatlla ,Excelente,Bien,1965,48m²,1,1,,G,159.000EUR
Piso con tres plantas en El Masnou ,Maresme  Masnou ,Muybien,Necesitarestauración,1985,367m²,3,6,,,330.000EUR
